               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11133,             0.22674,            0.027535,                   0,                   0,                   0,                   0,                   0,            0.018166,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10816,             0.21816,            0.027236,                   0,                   0,                   0,                   0,                   0,            0.018619,                   0,            0.073613,           0.0026129,           0.0026129
                   2,             0.10797,             0.23847,            0.027132,                   0,                   0,                   0,                   0,                   0,            0.019134,                   0,            0.059529,           0.0035288,           0.0035288
                   3,             0.10509,              0.2098,            0.026948,                   0,                   0,                   0,                   0,                   0,            0.019898,                   0,            0.045148,           0.0041477,           0.0041477
                   4,             0.10425,             0.23306,            0.026747,                   0,                   0,                   0,                   0,                   0,            0.020487,                   0,             0.03047,           0.0044696,           0.0044696
                   5,             0.10502,              0.2335,            0.026778,                   0,                   0,                   0,                   0,                   0,            0.021195,                   0,            0.015495,           0.0044945,           0.0044945
                   6,             0.10372,             0.22743,            0.026401,                   0,                   0,                   0,                   0,                   0,            0.021888,                   0,             0.00406,             0.00406,             0.00406
                   7,             0.10386,             0.23718,            0.026495,                   0,                   0,                   0,                   0,                   0,            0.022671,                   0,             0.00406,             0.00406,             0.00406
                   8,              0.1036,             0.22728,            0.026226,                   0,                   0,                   0,                   0,                   0,            0.023391,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.10286,             0.22132,            0.026347,                   0,                   0,                   0,                   0,                   0,             0.02372,                   0,             0.00208,             0.00208,             0.00208
